"id","actors","description","film_length","fsk","genre","image_url","origin_country","short_description","start_date","template_url","title","trailer","year"
"140","Leonardo DiCaprio, Jonah Hill, Margot Robbie","Mit Anfang 20 gruendet der Aktienhaendler Jordan Belfort seine eigene Firma, die schnell zum groÃƒÆ’Ã†â€™Ãƒâ€¦Ã‚Â¸en Erfolg wird. Er wird zum Multimillionaer und Star an der New Yorker Boerse,  der von allen nur `Wolf of Wall Street' genannt wird","179","16","Drama","https://filmbesprechungen.files.wordpress.com/2014/07/the-wolf-of-wall-street-dvd-cover-45.jpg?w=282&h=403","USA","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","2014-01-14 00:00:00.000","https://www.sueddeutsche.de/image/sz.1.2197246/1408x792?v=1520733776&format=webp","The Wolf of Wall Street","https://www.youtube.com/watch?v=iszwuX1AK6A","2013"
"141","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff, Jessica Henwick","The Matrix Resurrections is a 2021 American science fiction action film produced, co-written, and directed by Lana Wachowski. It is the sequel to The Matrix Revolutions (2003) and the fourth installment in The Matrix film series. Keanu Reeves, Carrie-Anne Moss, Lambert Wilson, and Jada Pinkett Smith reprise their roles from previous films in the series, being joined by Yahya Abdul-Mateen II, Jessica Henwick, Jonathan Groff, Neil Patrick Harris, Priyanka Chopra Jonas, and Christina Ricci. The film was produced by Village Roadshow Pictures and Venus Castina Productions and distributed by Warner Bros. Pictures.","148","16","Science Fiction","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTlTGZRRPuXJD39jIfcwdwcxUwowa_c942v2yac9VT1grVnMK2S","USA","Neo ist wieder in der Matrix-Welt gefangen, doch ohne sich dessen bewusst zu sein. Er wird geplagt von seltsamen Erinnerungen. Sein Leben nimmt eine unvorhergesehene Wendung, als er einen Mann trifft, der ihn ueber seine Realitaet aufklaert.","2021-12-16 00:00:00.000","https://assets-prd.ignimgs.com/2021/11/17/matrix-resurrections-ver2-button-1637176459091.jpg","Matrix Resurrections","https://www.youtube.com/watch?v=9ix7TUGVYIo","2021"
"144","Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek, Kit Harington","Mehrere Tausend Jahre ist es her, dass die Eternals, eine Gruppe unsterblicher Superhelden, unter ihrer Anfuehrerin Ajak auf die Erde kamen, um die Menschen vor der Vernichtung zu retten. Danach lebten sie lange im Verborgenen, doch nun sind sie gezwungen, ihre geheime Existenz preiszugeben, denn die Deviants, die aeltesten Feinde der Menschen, planen, diese endgueltig auszuloeschen...","157","12","Abenteuer/Action","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSycF77cWc-jS8kDfJZZd51hvP0SuXneKItSEY73zU-o5GV892y","USA","Eternals is a 2021 American superhero film based on the Marvel Comics race of the same name.","2121-11-04 00:00:00.000","https://www.film-rezensionen.de/wp-content/uploads/2021/10/Eternals-Szene-2-scaled.jpg","Eternals","https://www.youtube.com/watch?v=x_me3xsvDgk","2021"
"142","Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable.","148","12","Action","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRdooi6w35ctejeZz39B15KYvmbQjcUVI5tqY5YVi4rlvLdejwX","USA","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","2021-12-15 00:00:00.000","https://pyxis.nymag.com/v1/imgs/fa8/345/620c78a00c83d6583328f6e0e06599f28b-inception.rhorizontal.w700.jpg","Inception","https://www.youtube.com/watch?v=66TuSJo4dZM","2010"
"143","Kaya Scodelario, Robbie Amell, Hannah John-Kamen, Tom Hopper, Avan Jogia","Die Ursprungsgeschichte spielt im Jahr 1998. Raccoon City, einst die florierende Heimat des Pharmariesen Umbrella Corporation, ist heute eine sterbende Stadt im Mittleren Westen. Der Exodus des Unternehmens hat die Stadt in ein Oedland verwandelt, unter dessen Oberflaeche sich ein grosses Uebel zusammenbraut. Als dieses Boese entfesselt wird, veraendert sich die Stadt fuer immer.","107","16","Horror","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQM9ts4hCVI50GcIW6zobSyWv2eU0JFfQGRLxgCcJ6ysIcDiZ3k","UK","Resident Evil: Welcome To Raccoon City ein Film von Johannes Roberts mit Kaya Scodelario, Hannah John-Kamen.","2021-11-24 00:00:00.000","https://www.nightmare-horrormovies.de/wcf/images/pictureUploader/474402c1532461ae8d338273d92c256959bc4eb5.jpeg","Resident Evil: Welcome To Raccoon City","https://www.youtube.com/watch?v=f5vTDuGNyn8","2021"
